,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name,Rating_Somm
4062,Reserva 2015,Spain,Rioja,Hacienda Grimon,4.0,32,17.5,2015,red,Reserva 2015 Hacienda Grimon red,Outstanding
4063,Solar de Libano Reserva 2014,Spain,Rioja,Bodegas Castillo de Sajazarra,3.6,32,13.9,2014,red,Solar de Libano Reserva 2014 Bodegas Castillo de Sajazarra red,Above Average to Very Good
4064,Naiv Kleine Fabrik Portugieser 2016,Germany,Rheinhessen,Michael Teschke,3.9,32,9.5,2016,red,Naiv Kleine Fabrik Portugieser 2016 Michael Teschke red,Outstanding
4065,Cannonau di Sardegna 2018,Italy,Cannonau di Sardegna,Antonella Corda,4.0,32,16.46,2018,red,Cannonau di Sardegna 2018 Antonella Corda red,Outstanding
4066,Manteo Red Blend 2015,United States,Sonoma County,Virginia Dare,3.9,320,25.57,2015,red,Manteo Red Blend 2015 Virginia Dare red,Outstanding
4067,Estate Malbec 2018,Argentina,Mendoza,Kaiken,3.7,320,7.3,2018,red,Estate Malbec 2018 Kaiken red,Above Average to Very Good
4068,Garnacha de Fuego 2018,Spain,Calatayud,Breca,3.5,320,8.95,2018,red,Garnacha de Fuego 2018 Breca red,Above Average to Very Good
4069,Shiraz (1685 Series) 2017,South Africa,Coastal Region,Boschendal,3.9,320,16.85,2017,red,Shiraz (1685 Series) 2017 Boschendal red,Outstanding
4070,Brunello di Montalcino Montosoli 2013,Italy,Brunello di Montalcino,Altesino,4.4,320,63.92,2013,red,Brunello di Montalcino Montosoli 2013 Altesino red,Outstanding
4071,Cellar Selection Pinot Noir 2018,New Zealand,Marlborough,Villa Maria,3.9,320,15.89,2018,red,Cellar Selection Pinot Noir 2018 Villa Maria red,Outstanding
4072,Baccarossa 2017,Italy,Lazio,Poggio le Volpi,4.0,320,15.9,2017,red,Baccarossa 2017 Poggio le Volpi red,Outstanding
4073,Cuvée du Vatican Réserve de l’Abbé Côtes du Rhône 2018,France,Côtes-du-Rhône,Château Sixtine,3.8,320,10.2,2018,red,Cuvée du Vatican Réserve de l’Abbé Côtes du Rhône 2018 Château Sixtine red,Above Average to Very Good
4074,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château La Couspaude,4.2,320,66.95,2005,red,Saint-Émilion Grand Cru (Grand Cru Classé) 2005 Château La Couspaude red,Outstanding
4075,Gevrey Chambertin 2014,France,Gevrey-Chambertin,Louis Jadot,3.8,321,57.22,2014,red,Gevrey Chambertin 2014 Louis Jadot red,Above Average to Very Good
4076,Margaux (Grand Cru Classé) 2016,France,Margaux,Château Prieuré-Lichine,4.1,321,49.95,2016,red,Margaux (Grand Cru Classé) 2016 Château Prieuré-Lichine red,Outstanding
4077,Shiraz Short Row 2016,Australia,McLaren Vale,Fox Creek,3.7,321,23.5,2016,red,Shiraz Short Row 2016 Fox Creek red,Above Average to Very Good
4078,Pinot Noir 2017,South Africa,Stellenbosch,Meerlust,3.8,321,23.29,2017,red,Pinot Noir 2017 Meerlust red,Above Average to Very Good
4079,Cabernet Sauvignon 2017,South Africa,Franschhoek,La Motte Wine Estate,3.6,321,14.9,2017,red,Cabernet Sauvignon 2017 La Motte Wine Estate red,Above Average to Very Good
4080,Valley Oaks Zinfandel 2018,United States,California,Fetzer,4.1,3210,8.79,2018,red,Valley Oaks Zinfandel 2018 Fetzer red,Outstanding
4081,Aglianico Rubrato 2018,Italy,Irpinia,Feudi di San Gregorio,3.5,322,10.94,2018,red,Aglianico Rubrato 2018 Feudi di San Gregorio red,Above Average to Very Good
4082,Pomerol 2005,France,Pomerol,Château Beauregard,4.3,322,69.95,2005,red,Pomerol 2005 Château Beauregard red,Outstanding
4083,Pinot Noir 2016,New Zealand,Marlborough,Greywacke,4.0,322,29.5,2016,red,Pinot Noir 2016 Greywacke red,Outstanding
4084,Nebbiolo d’alba 2015,Italy,Piemonte,Bruno Giacosa,3.8,322,29.0,2015,red,Nebbiolo d’alba 2015 Bruno Giacosa red,Above Average to Very Good
4085,Rioja Reserva 2012,Spain,Rioja,Marqués de Cáceres,3.8,3222,13.95,2012,red,Rioja Reserva 2012 Marqués de Cáceres red,Above Average to Very Good
4086,Eagle Peak Merlot 2016,United States,California,Fetzer,3.5,323,8.9,2016,red,Eagle Peak Merlot 2016 Fetzer red,Above Average to Very Good
4087,Amarone della Valpolicella 2013,Italy,Amarone della Valpolicella,Corte Giona,3.9,323,23.39,2013,red,Amarone della Valpolicella 2013 Corte Giona red,Outstanding
4088,Reserva 2012,Spain,Rioja,Montecillo,3.8,323,13.48,2012,red,Reserva 2012 Montecillo red,Above Average to Very Good
4089,Pasionado Cuatro Cepas 2013,Argentina,Gualtallary,Andeluna,4.1,323,31.1,2013,red,Pasionado Cuatro Cepas 2013 Andeluna red,Outstanding
4090,Toscana Grifi 2012,Italy,Toscana,Avignonesi,4.0,323,55.15,2012,red,Toscana Grifi 2012 Avignonesi red,Outstanding
4091,Rouge (Gaston Hochar) 2011,Lebanon,Bekaa Valley,Château Musar,4.2,3230,46.3,2011,red,Rouge (Gaston Hochar) 2011 Château Musar red,Outstanding
4092,Shiraz 2016,Australia,South Australia,Oxford Landing,3.5,324,8.78,2016,red,Shiraz 2016 Oxford Landing red,Above Average to Very Good
4093,Pinot Noir 2018,United States,Los Carneros,Black Stallion,3.9,324,31.57,2018,red,Pinot Noir 2018 Black Stallion red,Outstanding
4094,Hillcot Merlot 2016,Australia,Barossa,Grant Burge,3.8,324,16.76,2016,red,Hillcot Merlot 2016 Grant Burge red,Above Average to Very Good
4095,Vintners Blend Old Vine Zinfandel 2017,United States,California,Ravenswood,3.2,324,9.49,2017,red,Vintners Blend Old Vine Zinfandel 2017 Ravenswood red,Above Average to Very Good
4096,Châteauneuf-du-Pape 2017,France,Châteauneuf-du-Pape,Château de Beaucastel,4.3,324,73.11,2017,red,Châteauneuf-du-Pape 2017 Château de Beaucastel red,Outstanding
4097,12 Meses en Barrica Tempranillo 2015,Spain,Ribera del Duero,Yllera,3.7,324,8.99,2015,red,12 Meses en Barrica Tempranillo 2015 Yllera red,Above Average to Very Good
4098,Cabernet Sauvignon 2016,Israel,Galilee,Yarden,4.1,324,25.5,2016,red,Cabernet Sauvignon 2016 Yarden red,Outstanding
4099,La Groletta Valpolicella Ripasso 2016,Italy,Valpolicella Ripasso,Corte Giara,3.9,3246,13.16,2016,red,La Groletta Valpolicella Ripasso 2016 Corte Giara red,Outstanding
4100,Palmenti Primitivo di Manduria Vigne Vecchie 2015,Italy,Primitivo di Manduria,Masseria Pietrosa,4.2,325,50.69,2015,red,Palmenti Primitivo di Manduria Vigne Vecchie 2015 Masseria Pietrosa red,Outstanding
4101,HANDS OF TIME Red 2017,United States,Napa Valley,Stag's Leap Wine Cellars,4.1,325,39.5,2017,red,HANDS OF TIME Red 2017 Stag's Leap Wine Cellars red,Outstanding
4102,Poggio alle Mura Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Banfi,4.1,325,38.89,2015,red,Poggio alle Mura Brunello di Montalcino 2015 Banfi red,Outstanding
4103,Saboteur 2016,South Africa,Western Cape,Luddite,4.1,325,22.9,2016,red,Saboteur 2016 Luddite red,Outstanding
4104,Bramasole Syrah 2015,Italy,Cortona,La Braccesca,4.4,325,46.0,2015,red,Bramasole Syrah 2015 La Braccesca red,Outstanding
4105,Cabernet Sauvignon Riserva Campaner 2016,Italy,Trentino-Alto Adige,Cantina Kaltern,4.0,325,14.72,2016,red,Cabernet Sauvignon Riserva Campaner 2016 Cantina Kaltern red,Outstanding
4106,Maestro 2015,United States,Napa Valley,Robert Mondavi,4.2,325,56.54,2015,red,Maestro 2015 Robert Mondavi red,Outstanding
4107,Tannat (Grande Vindima) 2010,Brazil,Encruzilhada do Sul,Lidio Carraro,4.0,326,73.06,2010,red,Tannat (Grande Vindima) 2010 Lidio Carraro red,Outstanding
4108,Chianti Classico 2015,Italy,Chianti Classico,Rocca di Montegrossi,3.8,326,14.95,2015,red,Chianti Classico 2015 Rocca di Montegrossi red,Above Average to Very Good
4109,Spezie Barbaresco Riserva 2008,Italy,Barbaresco,Vite Colte,4.0,326,26.9,2008,red,Spezie Barbaresco Riserva 2008 Vite Colte red,Outstanding
4110,Crozes-Hermitage Rouge 2017,France,Crozes-Hermitage,Maison les Alexandrins,3.8,326,17.95,2017,red,Crozes-Hermitage Rouge 2017 Maison les Alexandrins red,Above Average to Very Good
4111,Cabernet Sauvignon 50 Years 2016,United States,Columbia Valley,Chateau Ste. Michelle,3.9,326,14.0,2016,red,Cabernet Sauvignon 50 Years 2016 Chateau Ste. Michelle red,Outstanding
4112,Capitel Nicalò Valpolicella Superiore 2016,Italy,Valpolicella,Tedeschi,3.8,326,11.9,2016,red,Capitel Nicalò Valpolicella Superiore 2016 Tedeschi red,Above Average to Very Good
4113,Bandol Rouge 2011,France,Bandol,Gros' Noré,4.1,326,49.9,2011,red,Bandol Rouge 2011 Gros' Noré red,Outstanding
4114,Médoc 2010,France,Médoc,Château d'Escurac,3.8,326,18.42,2010,red,Médoc 2010 Château d'Escurac red,Above Average to Very Good
4115,Bordeaux Rouge 2015,France,Bordeaux,Château d'Haurets,3.7,326,8.25,2015,red,Bordeaux Rouge 2015 Château d'Haurets red,Above Average to Very Good
4116,Lyndenhurst Cabernet Sauvignon 2014,United States,St. Helena,Spottswoode,4.2,326,75.0,2014,red,Lyndenhurst Cabernet Sauvignon 2014 Spottswoode red,Outstanding
4117,Cabernet Franc 2012,Argentina,Patagonia,Bodega del Fin del Mundo,4.1,326,31.59,2012,red,Cabernet Franc 2012 Bodega del Fin del Mundo red,Outstanding
4118,Rouge (Gaston Hochar) 2004,Lebanon,Bekaa Valley,Château Musar,4.2,3261,37.92,2004,red,Rouge (Gaston Hochar) 2004 Château Musar red,Outstanding
4119,Ribera del Duero Tinto 2015,Spain,Ribera del Duero,Cepa 21,3.9,3268,16.9,2015,red,Ribera del Duero Tinto 2015 Cepa 21 red,Outstanding
4120,Jungano Aglianico Paestum 2017,Italy,Paestum,San Salvatore,4.2,327,20.93,2017,red,Jungano Aglianico Paestum 2017 San Salvatore red,Outstanding
4121,Silver Series Shiraz 2017,Australia,South Eastern Australia,Tempus Two,3.6,327,8.41,2017,red,Silver Series Shiraz 2017 Tempus Two red,Above Average to Very Good
4122,Rocca dei Mori Briacò Primitivo Salento Rosso 2016,Italy,Salento,Apollonio,3.8,327,7.9,2016,red,Rocca dei Mori Briacò Primitivo Salento Rosso 2016 Apollonio red,Above Average to Very Good
4123,Countacc! 2015,Italy,Monferrato,Michele Chiarlo,3.7,327,24.86,2015,red,Countacc! 2015 Michele Chiarlo red,Above Average to Very Good
4124,Pessac-Léognan (Premier Grand Cru Classé) 2010,France,Pessac-Léognan,Château Haut-Brion,4.6,327,1197.9,2010,red,Pessac-Léognan (Premier Grand Cru Classé) 2010 Château Haut-Brion red,Outstanding
4125,Pessac-Léognan 2014,France,Pessac-Léognan,Château Haut-Bailly,4.1,327,82.37,2014,red,Pessac-Léognan 2014 Château Haut-Bailly red,Outstanding
4126,Director's Cut Pinot Noir 2017,United States,Russian River Valley,Francis Ford Coppola,3.8,328,36.83,2017,red,Director's Cut Pinot Noir 2017 Francis Ford Coppola red,Above Average to Very Good
4127,Palpite Reserva 2016,Portugal,Alentejano,Fitapreta,4.2,328,18.52,2016,red,Palpite Reserva 2016 Fitapreta red,Outstanding
4128,Tanca Farra Alghero 2015,Italy,Alghero,Sella & Mosca,3.8,328,15.23,2015,red,Tanca Farra Alghero 2015 Sella & Mosca red,Above Average to Very Good
4129,Baron de Charette Monopole Bourgogne Pinot Noir 2017,France,Bourgogne,Château de Dracy,3.7,328,15.5,2017,red,Baron de Charette Monopole Bourgogne Pinot Noir 2017 Château de Dracy red,Above Average to Very Good
4130,Dolcetto d’Alba 2017,Italy,Piemonte,Bruno Giacosa,3.8,329,15.42,2017,red,Dolcetto d’Alba 2017 Bruno Giacosa red,Above Average to Very Good
4131,Saint-Julien (Grand Cru Classé) 2000,France,Saint-Julien,Château Langoa Barton,4.2,329,94.95,2000,red,Saint-Julien (Grand Cru Classé) 2000 Château Langoa Barton red,Outstanding
4132,Podere Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Umani Ronchi,3.7,329,4.7,2018,red,Podere Montepulciano d'Abruzzo 2018 Umani Ronchi red,Above Average to Very Good
4133,Benchmark Shiraz 2018,Australia,South Australia,Grant Burge,3.3,329,6.95,2018,red,Benchmark Shiraz 2018 Grant Burge red,Above Average to Very Good
4134,Pactio Toscana Rosso 2014,Italy,Toscana,Fertuna,3.4,329,9.65,2014,red,Pactio Toscana Rosso 2014 Fertuna red,Above Average to Very Good
4135,Margaux 2009,France,Margaux,Château Siran,3.9,329,22.37,2009,red,Margaux 2009 Château Siran red,Outstanding
4136,Haut-Médoc 2015,France,Haut-Médoc,Château Fontesteau,3.9,329,16.9,2015,red,Haut-Médoc 2015 Château Fontesteau red,Outstanding
4137,Red Mountain 2016,United States,Red Mountain,Hedges Family Estate,4.1,329,39.79,2016,red,Red Mountain 2016 Hedges Family Estate red,Outstanding
4138,Ventoux 2017,France,Ventoux,Famille Perrin,3.5,329,7.45,2017,red,Ventoux 2017 Famille Perrin red,Above Average to Very Good
4139,Ser Gioveto Toscana 2008,Italy,Toscana,Rocca delle Macìe,4.1,329,28.09,2008,red,Ser Gioveto Toscana 2008 Rocca delle Macìe red,Outstanding
4140,Old Bush Vine Grenache (Samuel's Garden Collection) 2018,Australia,Barossa,Yalumba,3.8,329,17.5,2018,red,Old Bush Vine Grenache (Samuel's Garden Collection) 2018 Yalumba red,Above Average to Very Good
4141,Atrium Merlot 2017,Spain,Penedès,Torres,4.0,329,11.99,2017,red,Atrium Merlot 2017 Torres red,Outstanding
4142,Rioja Tempranillo 2015,Spain,Rioja,Marqués de la Concordia,3.6,329,8.69,2015,red,Rioja Tempranillo 2015 Marqués de la Concordia red,Above Average to Very Good
4143,Amarone della Valpolicella Conte di Valle Riserva 2011,Italy,Amarone della Valpolicella,Palazzo Maffei,4.1,329,49.0,2011,red,Amarone della Valpolicella Conte di Valle Riserva 2011 Palazzo Maffei red,Outstanding
4144,Malbec 2014,Argentina,Mendoza,Catena Alta,4.3,3295,44.62,2014,red,Malbec 2014 Catena Alta red,Outstanding
4145,Wild Slopes CGM Red 2018,Chile,Aconcagua,Outer Limits,4.0,33,20.49,2018,red,Wild Slopes CGM Red 2018 Outer Limits red,Outstanding
4146,Fossati Barolo 2015,Italy,Barolo,Enzo Boglietti,4.0,33,72.62,2015,red,Fossati Barolo 2015 Enzo Boglietti red,Outstanding
4147,Cos d'Estournel 2017,France,Saint-Estèphe,Cos d'Estournel,4.2,33,193.99,2017,red,Cos d'Estournel 2017 Cos d'Estournel red,Outstanding
4148,Pannobile Red 2017,Austria,Burgenland,Paul Achs,3.8,33,26.81,2017,red,Pannobile Red 2017 Paul Achs red,Above Average to Very Good
4149,Gilusia Syrah 2018,Italy,Terre Siciliane,Tenuta Rapitalà,3.6,33,7.7,2018,red,Gilusia Syrah 2018 Tenuta Rapitalà red,Above Average to Very Good
4150,Annonce Saint-Émilion Grand Cru 2016,France,Saint-Émilion Grand Cru,Château Belair-Monange,3.9,33,60.44,2016,red,Annonce Saint-Émilion Grand Cru 2016 Château Belair-Monange red,Outstanding
4151,Le Retour Rouge 2015,France,Ventoux,Domaine Le Mur-Mur-Ium,3.7,33,8.57,2015,red,Le Retour Rouge 2015 Domaine Le Mur-Mur-Ium red,Above Average to Very Good
4152,Châteauneuf-du-Pape 2001,France,Châteauneuf-du-Pape,Tardieu-Laurent,4.2,33,66.95,2001,red,Châteauneuf-du-Pape 2001 Tardieu-Laurent red,Outstanding
4153,The Hidden Syrah 2016,United States,Wahluke Slope,K Vintners,4.3,33,89.47,2016,red,The Hidden Syrah 2016 K Vintners red,Outstanding
4154,Primitivo 2017,Italy,Primitivo di Manduria,Palazzo Malgara,3.7,33,8.11,2017,red,Primitivo 2017 Palazzo Malgara red,Above Average to Very Good
4155,Crianza 2016,Spain,Rioja,Bodegas Aradon,3.8,33,6.7,2016,red,Crianza 2016 Bodegas Aradon red,Above Average to Very Good
4156,Tazzelenghe 2011,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.0,33,24.01,2011,red,Tazzelenghe 2011 Conte d'Attimis Maniago red,Outstanding
4157,Fläscher Pinot Noir 2018,Switzerland,Graubünden,Hansruedi Adank,3.5,33,27.78,2018,red,Fläscher Pinot Noir 2018 Hansruedi Adank red,Above Average to Very Good
4158,Castrum 2014,Italy,Rosso Veronese,Paolo Cottini,4.0,33,25.9,2014,red,Castrum 2014 Paolo Cottini red,Outstanding
4159,The Journeyman 2015,South Africa,Franschhoek,Boekenhoutskloof,4.5,33,110.75,2015,red,The Journeyman 2015 Boekenhoutskloof red,Outstanding
4160,Zweigelt 2016,Austria,Burgenland,Claus Preisinger,3.7,33,30.73,2016,red,Zweigelt 2016 Claus Preisinger red,Above Average to Very Good
4161,Sudisfà Roero Riserva 2016,Italy,Roero,Negro Angelo,4.2,33,32.9,2016,red,Sudisfà Roero Riserva 2016 Negro Angelo red,Outstanding
4162,Rust Blaufränkisch Ried Mariental Trocken 2016,Austria,Burgenland,Ernst Triebaumer,4.3,33,56.95,2016,red,Rust Blaufränkisch Ried Mariental Trocken 2016 Ernst Triebaumer red,Outstanding
4163,La Séductrice 2018,France,Malepère,La Louvière,3.7,33,14.89,2018,red,La Séductrice 2018 La Louvière red,Above Average to Very Good
4164,Cabernet Sauvignon - Merlot 2017,South Africa,Western Cape,Capaia,3.7,33,9.36,2017,red,Cabernet Sauvignon - Merlot 2017 Capaia red,Above Average to Very Good
4165,Jock McPherson Cabernet Sauvignon 2018,Australia,South Eastern Australia,McPherson,3.7,33,7.6,2018,red,Jock McPherson Cabernet Sauvignon 2018 McPherson red,Above Average to Very Good
4166,Merlot Private Reserve 2010,Chile,Maule Valley,Aromo,3.1,33,12.19,2010,red,Merlot Private Reserve 2010 Aromo red,Above Average to Very Good
4167,Vougeot 1er Cru 'Les Petits Vougeots' 2013,France,Vougeot 1er Cru 'Les Petits Vougeots',Hudelot-Noëllat,4.1,33,77.5,2013,red,Vougeot 1er Cru 'Les Petits Vougeots' 2013 Hudelot-Noëllat red,Outstanding
4168,Rotburger Im Fluss 2017,Austria,Burgenland,Weninger,3.8,33,8.24,2017,red,Rotburger Im Fluss 2017 Weninger red,Above Average to Very Good
4169,Côte-Rôtie 2005,France,Côte-Rôtie,Tardieu-Laurent,4.4,33,89.95,2005,red,Côte-Rôtie 2005 Tardieu-Laurent red,Outstanding
4170,Les Beaux Monts Vosne-Romanée 1er Cru 2013,France,Vosne-Romanée 1er Cru 'Les Beaux Monts',Michel Noëllat,4.2,33,92.12,2013,red,Les Beaux Monts Vosne-Romanée 1er Cru 2013 Michel Noëllat red,Outstanding
4171,Les Grézeaux Chinon 2018,France,Chinon,Bernard Baudry,3.7,33,17.06,2018,red,Les Grézeaux Chinon 2018 Bernard Baudry red,Above Average to Very Good
4172,Cabernet Sauvignon 2016,South Africa,Stellenbosch,Zevenwacht,3.9,33,11.49,2016,red,Cabernet Sauvignon 2016 Zevenwacht red,Outstanding
4173,Pomerol by Clinet 2016,France,Pomerol,Château Clinet,3.6,33,43.83,2016,red,Pomerol by Clinet 2016 Château Clinet red,Above Average to Very Good
4174,Spätburgunder Trocken 2017,Germany,Mosel,Regnery,3.7,33,9.5,2017,red,Spätburgunder Trocken 2017 Regnery red,Above Average to Very Good
4175,Hereford Tinto 2018,Argentina,Mendoza,Bodegas la Rosa,3.2,33,5.16,2018,red,Hereford Tinto 2018 Bodegas la Rosa red,Above Average to Very Good
4176,Marche Rosso 2015,Italy,Marche,Roberto Lucarelli,2.6,33,11.5,2015,red,Marche Rosso 2015 Roberto Lucarelli red,Average
4177,Le Lac-aux-Cochons Cahors 2015,France,Cahors,Château Combel La Serre,3.7,33,28.47,2015,red,Le Lac-aux-Cochons Cahors 2015 Château Combel La Serre red,Above Average to Very Good
4178,Asili Barbaresco 2014,Italy,Barbaresco,Cascina Luisin,3.7,33,38.5,2014,red,Asili Barbaresco 2014 Cascina Luisin red,Above Average to Very Good
4179,Ja-Mocha Pinotage 2018,South Africa,Western Cape,Simonsvlei,3.6,33,11.5,2018,red,Ja-Mocha Pinotage 2018 Simonsvlei red,Above Average to Very Good
4180,Touriga Nacional 2015,Portugal,Alentejano,Cortes de Cima,4.2,33,34.12,2015,red,Touriga Nacional 2015 Cortes de Cima red,Outstanding
4181,GG Eichberg Spätburgunder 2013,Germany,Baden,Salwey,3.9,33,36.5,2013,red,GG Eichberg Spätburgunder 2013 Salwey red,Outstanding
4182,Touriga Nacional Alentejano 2017,Portugal,Alentejano,Terra d'Alter,3.8,33,7.45,2017,red,Touriga Nacional Alentejano 2017 Terra d'Alter red,Above Average to Very Good
4183,Château Marojallia Margaux 2015,France,Margaux,Domaines Philippe Porcheron,3.9,33,59.95,2015,red,Château Marojallia Margaux 2015 Domaines Philippe Porcheron red,Outstanding
4184,Quetton Saint-Georges 2014,France,Saint-Georges d’Orques,Château de l'Engarran,4.3,33,21.5,2014,red,Quetton Saint-Georges 2014 Château de l'Engarran red,Outstanding
4185,Barolo Castellero 2011,Italy,Barolo,Giacomo Fenocchio,4.0,33,34.82,2011,red,Barolo Castellero 2011 Giacomo Fenocchio red,Outstanding
4186,Sotanum 2007,France,Collines Rhodaniennes,Les Vins de Vienne - Cuilleron-Gaillard-Villard,4.3,33,38.01,2007,red,Sotanum 2007 Les Vins de Vienne - Cuilleron-Gaillard-Villard red,Outstanding
4187,Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Le Ragnaie,4.3,33,57.72,2015,red,Brunello di Montalcino 2015 Le Ragnaie red,Outstanding
4188,Blaufränkisch 2017,Austria,Burgenland,Umathum,3.6,33,10.93,2017,red,Blaufränkisch 2017 Umathum red,Above Average to Very Good
4189,Winklerberg Spätburgunder GG 2011,Germany,Baden,Dr. Heger,4.0,33,55.0,2011,red,Winklerberg Spätburgunder GG 2011 Dr. Heger red,Outstanding
4190,Les Bousselots Nuits-Saint-Georges 1er Cru 2013,France,Nuits-Saint-Georges Premier Cru,Domaine Robert Chevillon,4.3,33,86.62,2013,red,Les Bousselots Nuits-Saint-Georges 1er Cru 2013 Domaine Robert Chevillon red,Outstanding
4191,Pomerol 2016,France,Pomerol,Clos Plince,3.9,33,54.73,2016,red,Pomerol 2016 Clos Plince red,Outstanding
4192,Cabernet Sauvignon 2015,Italy,Colli Orientali del Friuli,Torre Rosazza,3.7,33,13.37,2015,red,Cabernet Sauvignon 2015 Torre Rosazza red,Above Average to Very Good
4193,Matilda Plains Cabernet - Shiraz 2017,Australia,Langhorne Creek,Bremerton,3.9,33,9.55,2017,red,Matilda Plains Cabernet - Shiraz 2017 Bremerton red,Outstanding
4194,Pinot Noir 2015,Austria,Niederösterreich,Loimer,3.6,33,13.8,2015,red,Pinot Noir 2015 Loimer red,Above Average to Very Good
4195,Vinhas Velhas Tinto 2017,Portugal,Alentejano,Quinta do Paral,4.6,33,29.99,2017,red,Vinhas Velhas Tinto 2017 Quinta do Paral red,Outstanding
4196,Cabernet Sauvignon 2015,Argentina,Mendoza,Terrazas de los Andes,3.7,33,20.19,2015,red,Cabernet Sauvignon 2015 Terrazas de los Andes red,Above Average to Very Good
4197,Gago G 2016,Spain,Toro,Telmo Rodriguez,3.8,33,16.95,2016,red,Gago G 2016 Telmo Rodriguez red,Above Average to Very Good
4198,Raut Lagrein 2018,Italy,Südtirol - Alto Adige,Peter Zemmer,3.6,33,10.23,2018,red,Raut Lagrein 2018 Peter Zemmer red,Above Average to Very Good
4199,Mazis-Chambertin Grand Cru 2008,France,Mazis-Chambertin Grand Cru,Domaine Tortochot,4.5,33,185.95,2008,red,Mazis-Chambertin Grand Cru 2008 Domaine Tortochot red,Outstanding
4200,Creative Block 5 2017,South Africa,Stellenbosch,Spier,3.9,33,16.95,2017,red,Creative Block 5 2017 Spier red,Outstanding
4201,Assmannshäuser Höllenberg Spätburgunder Trocken 2016,Germany,Rheingau,Allendorf,3.0,33,31.53,2016,red,Assmannshäuser Höllenberg Spätburgunder Trocken 2016 Allendorf red,Above Average to Very Good
4202,Parel Vallei Farmstead Merlot 2012,South Africa,Stellenbosch,Cape of Good Hope,4.2,33,33.89,2012,red,Parel Vallei Farmstead Merlot 2012 Cape of Good Hope red,Outstanding
4203,Falletto Barolo 2015,Italy,Barolo,Bruno Giacosa,4.3,33,173.63,2015,red,Falletto Barolo 2015 Bruno Giacosa red,Outstanding
4204,Shiraz 2019,Chile,Central Valley,Antares,3.2,33,5.43,2019,red,Shiraz 2019 Antares red,Above Average to Very Good
4205,Chianti Classico Bellezza Gran Selezione 2015,Italy,Chianti Classico,Castello di Gabbiano,4.0,33,31.57,2015,red,Chianti Classico Bellezza Gran Selezione 2015 Castello di Gabbiano red,Outstanding
4206,Son P Negre 2017,Spain,Mallorca,Es Fangar,3.8,33,15.99,2017,red,Son P Negre 2017 Es Fangar red,Above Average to Very Good
4207,Negra 2009,Spain,Montsant,Terra Personas,3.7,33,14.57,2009,red,Negra 2009 Terra Personas red,Above Average to Very Good
4208,Maurizio Zanella Sebino 2016,Italy,Sebino,Ca' del Bosco,4.3,33,49.5,2016,red,Maurizio Zanella Sebino 2016 Ca' del Bosco red,Outstanding
4209,Vision 2015,Austria,Burgenland,Reunion,4.2,33,44.99,2015,red,Vision 2015 Reunion red,Outstanding
4210,The Twenty-Eight Road Mourvèdre 2014,Australia,McLaren Vale,d'Arenberg,3.8,33,21.57,2014,red,The Twenty-Eight Road Mourvèdre 2014 d'Arenberg red,Above Average to Very Good
4211,Cabernet Sauvignon - Merlot 2017,Slovenia,Podravje,Puklavec Family Wines,3.3,330,8.95,2017,red,Cabernet Sauvignon - Merlot 2017 Puklavec Family Wines red,Above Average to Very Good
4212,Pomerol 2008,France,Pomerol,Château La Conseillante,4.2,330,144.95,2008,red,Pomerol 2008 Château La Conseillante red,Outstanding
4213,Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Lassègue,4.1,330,49.95,2015,red,Saint-Émilion Grand Cru 2015 Château Lassègue red,Outstanding
4214,Quater Vitis Rosso 2014,Italy,Terre Siciliane,Firriato,4.0,330,13.89,2014,red,Quater Vitis Rosso 2014 Firriato red,Outstanding
4215,El Rincón 2013,Spain,Dominio de Valdepusa,Marqués de Griñon,3.7,330,16.9,2013,red,El Rincón 2013 Marqués de Griñon red,Above Average to Very Good
4216,Finca La Escuela Malbec 2013,Argentina,Mendoza,Tinto Negro (TintoNegro),3.8,330,34.73,2013,red,Finca La Escuela Malbec 2013 Tinto Negro (TintoNegro) red,Above Average to Very Good
4217,Clos du Marquis Saint-Julien 2015,France,Saint-Julien,Château Léoville Las Cases,4.3,330,67.75,2015,red,Clos du Marquis Saint-Julien 2015 Château Léoville Las Cases red,Outstanding
4218,Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château Barrail du Blanc,3.9,330,18.9,2014,red,Saint-Émilion Grand Cru 2014 Château Barrail du Blanc red,Outstanding
4219,Côtes du Rhône Le Caillou 2018,France,Côtes-du-Rhône,Clos du Caillou,3.8,331,10.9,2018,red,Côtes du Rhône Le Caillou 2018 Clos du Caillou red,Above Average to Very Good
4220,The Stump Jump Shiraz 2017,Australia,McLaren Vale,d'Arenberg,3.3,331,8.94,2017,red,The Stump Jump Shiraz 2017 d'Arenberg red,Above Average to Very Good
4221,Légende (R) Pauillac 2015,France,Pauillac,Barons de Rothschild (Lafite),4.0,331,34.64,2015,red,Légende (R) Pauillac 2015 Barons de Rothschild (Lafite) red,Outstanding
